0,1,2,FORTUNE HAPPINESS (B128),41-1/4 24.18,41-1/4 22.60,11-3/4 22.74,,,,1:09.52
1,2,6,EXPONENTS (A031),61-3/4 24.26,51-1/2 22.56,21-3/4 22.99,,,,1:09.81
2,3,1,CORRE RAPIDO (A053),1N 23.98,11/2 22.60,32-1/2 23.32,,,,1:09.90
3,4,10,RUN MOOCHI (B277),2N 24.02,21/2 22.64,44 23.51,,,,1:10.17
4,5,5,DATING (B341),82-3/4 24.42,63 22.64,54-3/4 23.23,,,,1:10.29
5,6,9,MUTUAL JOY (T282),31/2 24.06,33/4 22.64,67-3/4 24.07,,,,1:10.77
6,7,8,KING MORTAR (A097),51-3/4 24.26,74-1/4 23.00,79-3/4 23.83,,,,1:11.09
7,8,7,FIRE AND GOLD (B004),93-1/4 24.50,85 22.88,811-1/4 23.95,,,,1:11.33
8,9,3,SUPREME WITNESS (A357),72-3/4 24.42,95-1/2 23.04,914-3/4 24.43,,,,1:11.89
9,10,4,WINNERS BROTHER (C220),103-1/4 24.50,107 23.20,1018-1/4 24.74,,,,1:12.44
