0,1,3,GOOD RUNNERS WAY (C127),31-3/4 25.08,32-3/4 23.51,21 23.40,1SH 23.49,,,1:35.48
1,2,4,REGENCY GEM (C035),95-1/2 25.68,85 23.27,82-1/2 23.28,2SH 23.27,,,1:35.50
2,3,7,PROUD SKY (V406),53-3/4 25.40,43-1/2 23.31,31-1/4 23.32,31/2 23.54,,,1:35.57
3,4,2,LE PANACHE (V369),43 25.28,64 23.51,62 23.36,41-1/4 23.53,,,1:35.68
4,5,1,GOLD VELVET (V400),84-3/4 25.56,75 23.39,72-1/4 23.24,51-1/2 23.52,,,1:35.71
5,6,9,ROMANTIC JOURNEY (B107),1N 24.80,11 23.35,11 23.68,61-3/4 23.94,,,1:35.77
6,7,5,WICKER (B425),74-1/2 25.52,95-1/4 23.47,94-1/4 23.52,72 23.28,,,1:35.79
7,8,6,WHAMPOA STAR (B146),2N 24.84,21 23.47,41-1/4 23.72,87-1/2 24.64,,,1:36.67
8,9,8,YOUNG GLORY (B292),64 25.44,53-3/4 23.31,52 23.40,910-1/2 25.00,,,1:37.15
