0,1,1,MULTIMILLION (C022),11/2 13.35,11 20.53,1SH 23.03,,,,0:56.91
1,2,8,SUPER JUNIOR (V390),33/4 13.47,32 20.73,2SH 22.72,,,,0:56.92
2,3,4,WAR ROOM (B414),82 13.67,63-1/2 20.77,3N 22.54,,,,0:56.98
3,4,3,JING JING WIN (V328),41-1/2 13.59,42-1/2 20.69,42-3/4 23.05,,,,0:57.33
4,5,10,MIGHTY MAVERICK (V150),113-1/2 13.91,127-1/4 21.13,52-3/4 22.30,,,,0:57.34
5,6,11,GENTLE BREEZE (B343),124-1/4 14.03,117-1/4 21.01,63 22.36,,,,0:57.40
6,7,9,GLENEALY GENERALS (B475),51-1/2 13.59,84-1/2 21.01,74-3/4 23.05,,,,0:57.65
7,8,7,WINNING METHOD (C383),71-3/4 13.63,52-3/4 20.69,85-1/4 23.45,,,,0:57.77
8,9,2,DIVINE UNICORN (C269),102-3/4 13.79,107 21.21,96-1/2 22.95,,,,0:57.95
9,10,6,FAIRY TWINS (V222),92-1/4 13.71,74 20.81,108-1/4 23.71,,,,0:58.23
10,11,5,BEAUTY CHARISMA (C274),21/2 13.43,21 20.61,119-3/4 24.45,,,,0:58.49
11,12,12,MR RIGHT (T334),61-3/4 13.63,94-1/2 20.97,1211-1/2 24.15,,,,0:58.75
